Name,Google Maps URL,Website,Phone,Address,Rating,Reviews Count
World of architecture - best architects in pune.,https://www.google.com/maps/place/?q=place_id:ChIJTfSds4S_wjsRcfAuPtpEKn0,,+91 86008 89971,"kh, Blue hill society, 104, NDA Pashan Rd, Shri Krishna Nagar, Sagar Co-Operative Housing Society, Bavdhan, Pune, Maharashtra 411021, India",5,250
TAO ARCHITECTURE PVT. LTD.,https://www.google.com/maps/place/?q=place_id:ChIJBzlEJgHBwjsRDiX0GvQccMg,http://www.taoarchitecture.com/,+91 74477 19344,"A/2, FRIENDS ENCLAVE SOCIETY PART - 2, WEST BLOCK, opp. Sai Hira Apartments, COMPLEX, Mundhwa, Pune, Maharashtra 411036, India",4.7,383
SOUL Architectural Studio.,https://www.google.com/maps/place/?q=place_id:ChIJaY-jTBq5wjsRMiLvWTIIV4A,http://www.soularchitecturalstudio.com/,+91 97300 82222,"Sai Ankoor, B- 302, next to F Residences, Balewadi, Pune, Maharashtra 411045, India",4.9,138
Sovereign Architects - Architects in Pune | Best Interior Designers in Pune,https://www.google.com/maps/place/?q=place_id:ChIJB00e2ee-wjsRdPZQEkk9wrk,https://sovereignarchitects.com/,+91 98225 63976,"Flat No. A2, Besides Reliance Fresh, STERLING HORIZON, Pashan - Sus Rd, Pashan, Pune, Maharashtra 411021, India",4.3,63
Shitesh Agrawal Architects,https://www.google.com/maps/place/?q=place_id:ChIJ5w8wi3e_wjsR0eG1CODDSrk,http://www.saaplimited.com/,+91 20 2566 6366,"artisans house, lane, 440/4, Gokhale Rd, Beside Sky One, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India",4.7,79
Sunil Patil Associates Pvt. Ltd.,https://www.google.com/maps/place/?q=place_id:ChIJu6hQj_jAwjsRK2V3saIEYlE,http://www.architectsunilpatil.com/,,"Sunil Patil Associates Pvt. Ltd, Bungalow No, 4, , 323, N Main Rd, Liberty Phase 2, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",4.5,93
Ankur Associates,https://www.google.com/maps/place/?q=place_id:ChIJ7ZsbKvbBwjsRUXmSl4iXhfc,http://www.ankurassociates.in/,+91 20 6604 2802,"101, Tejovalay, Sr No 1187, 19, Ghole Rd, Sumukh Society, Shivajinagar, Pune, Maharashtra 411005, India",4.6,54
Cubix Architects Associates,https://www.google.com/maps/place/?q=place_id:ChIJU1NG74PqwjsRBL6ehvewZtY,https://cubixarchitects.com/,+91 98818 61273,"Office no.1 and 2, Aristrocat ‘L’, Opp. Beverly Hills Hotel Near Magnus Club Lulla Nagar, Prakash Cooperative Housing Society, Block A, Bibwewadi, Pune, Maharashtra 411040, India",4.6,163
CCBA Designs | India House,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlTO5wjsRpu_RcArQLKM,http://www.ccba.in/,+91 84460 04477,"India House, 53, Sopan Baug Rd, Balewadi, Pune, Maharashtra 411045, India",4.8,211
The Design Degree Architecture,https://www.google.com/maps/place/?q=place_id:ChIJ0ZYE1fvBwjsRjwhNO6HqT4Q,,,"502, Ashish Apartment, Law College Rd, near Kollage Hotel, Shanti Sheela Society, Erandwane, Pune, Maharashtra 411004, India",4.8,98
Studio AsA,https://www.google.com/maps/place/?q=place_id:ChIJAR46fp2_wjsRvXTm87r6DmI,http://www.studioasa.in/,+91 93095 90430,"1st, 2nd and 3rd floor, Ashtagandha Bungalow Phase 3B, near The Rustle Nest Restaurant, Baner, Pune, Maharashtra 411045, India",4.8,71
Sparc Design: Trusted Top Architects & Interior Designers in Pune,https://www.google.com/maps/place/?q=place_id:ChIJj3fyB4DqwjsRdcG7liG0M1E,https://sparcdesign.co.in/,+91 86986 40909,"660, 6th Marvel Vista Junction, Bibewadi, Lullanagar, Pune, Maharashtra 411040, India",4.6,71
Ground 11 Architects,https://www.google.com/maps/place/?q=place_id:ChIJT-kSxXbqwjsRJsYnsgpr_aU,http://www.ground11.com/,+91 72760 70225,"Ground 11 Architects, Maple point, near Sun Grace School, Maestros Phase 2, Oxford Village, Kedari Nagar, Wanowrie, Pune, Maharashtra 411040, India",4.7,94
VK:a architecture,https://www.google.com/maps/place/?q=place_id:ChIJuaG7wnXAwjsRUEnHRZ8RGj0,http://vkarch.com/site/,+91 20 6626 8888,"5th Floor, Next Gen Avenue Su.No 103(p), CTS no 2850, Off, Senapati Bapat Rd, near Icc Trade Tower, Bahiratwadi, Bhageerath, Gokhalenagar, Pune, Maharashtra 411016, India",4.5,265
Architects in Pune Dhiraj Bhumkar Architects Top Architect in Pune Baner Balewadi,https://www.google.com/maps/place/?q=place_id:ChIJy9m2fvS5wjsRLx7CMvsftnU,http://www.atelieroffice.com/,+91 95273 31665,"Office 307 ALTUS Building ,SR No 23 Next to Balewadi High Street , Laxman Nagar, BANER, Balewadi, Pune, Maharashtra 411045, India",4.9,33
Space Designers' Syndicate,https://www.google.com/maps/place/?q=place_id:ChIJcamN4EjAwjsRpPTcsqerMFI,http://spaceds.com/,+91 97630 07571,"1st Floor, Mega Space, 13, Solapur Bazaar Rd, off East Street, Solapur Bazar, Pune Cantonment, Pune, Maharashtra 411001, India",4.7,61
Fourth Dimension Group,https://www.google.com/maps/place/?q=place_id:ChIJHZcn-4e_wjsRg5I3YZW5Cas,http://www.fdgglobal.com/,+91 20 4100 0999,"FD House, Lane No 8, opp. AXIS BANK, Abhiman Society, Kachare Colony, Deccan Gymkhana, Pune, Maharashtra 411004, India",4.6,181
The Arch Studio,https://www.google.com/maps/place/?q=place_id:ChIJmzpsOVjAwjsRFBuhn2dOkvA,http://thearchstudio.co.in/,+91 20 2616 0001,"Millenium Star, Chatrapati Shahu Maharaj Rd, Sangamvadi, Pune, Maharashtra 411001, India",4.9,50
SK Architects Pune,https://www.google.com/maps/place/?q=place_id:ChIJ_R8E6ZPDwjsR1LIYTcS9aGQ,https://skarchitects.in/,+91 98222 33010,"OFFICE NO. 18, 5th FLOOR, C WING, K.K. MARKET, near SHANKAR MAHARAJ MATH, KK Market, Dhankawadi, Pune, Maharashtra 411043, India",4.9,26
GABHA Architects & Interior Designers,https://www.google.com/maps/place/?q=place_id:ChIJF0ELWQ3AwjsRsWn2NGrnjng,https://www.instagram.com/gabha.architects/profilecard/?igsh=MThoOWV5OW5waTJ2dg==,+91 94229 78254,"Salisbury Park, Gultekadi, Pune, Maharashtra 411037, India",4.9,39
Namrata Kataria | NK Architects & Interior Designer | Best Architect & interior Designer in Pune,https://www.google.com/maps/place/?q=place_id:ChIJX22NaNq5wjsRnD5QUj9FWFc,http://nkarchitectsandinteriors.com/?utm_source=gmb&utm_medium=referral,+91 88558 25040,"flat no 20, Gajanan Complex, Bijli Nagar Rd, near 7 Orange Hospital, Chinchwad Gaon, Chinchwad, Pimpri-Chinchwad, Pune, Maharashtra 411033, India",5,509
Jitendra Lamba Architects,https://www.google.com/maps/place/?q=place_id:ChIJAQC8InvqwjsRoUN5_0TgZ1o,,+91 90110 55246,"E-002, Natasha Hill View, NIBM Rd, Bhatnagar Colony, Kondhwa, Pune, Maharashtra 411048, India",4.9,123
Artel Studios,https://www.google.com/maps/place/?q=place_id:ChIJAzE4Ywi3wjsRUWKTm6QSHJU,http://www.artelstudios.in/,+91 84840 06161,"Artel Studios, 55/2, Ganeshkhindh Road, Jagdishnagar, Sadhu Vasvani Nagar, Aundh, Pune, Maharashtra 411007, India",4.6,89
Infinity by Sanam & Ajinkya Dhumal | Architects | Interior Designer,https://www.google.com/maps/place/?q=place_id:ChIJa3aicffAwjsRecfjqDnkuJA,http://www.infinitydesign.in/,+91 20 2616 1110,"Gagan Uno, 9th floor, Balkrishna Sakharam Dhole Patil Rd, in front of vohumans Cafe, Sangamvadi, Pune, Maharashtra 411001, India",4.7,147
Sthapatyaved (स्थापत्यवेद) - Architecture & Interior Designer | Vastu Consultant in Pune,https://www.google.com/maps/place/?q=place_id:ChIJ9xxcH5rBwjsRdMeFkuYvn9c,https://www.sthapatyaved.in/,+91 98502 60101,"Office no 206, Shree Swami Samarth complex, Nagar Rd, above C'Lai, opposite to Chroma, Wagholi, Pune, Maharashtra 412207, India",5,79
Shree Bramha Architects,https://www.google.com/maps/place/?q=place_id:ChIJNf0BminDwjsRHoR9IMIYMwU,http://www.shreebramhaarchitects.com/,+91 96370 65131,"Office no. 202, Sai Sanskruti Complex second floor, Baif Rd, Wagholi, Pune, Maharashtra 412207, India",4.7,63
JK Design & Build,https://www.google.com/maps/place/?q=place_id:ChIJRyueSriZcjkRl20JJ6Va4WY,,+91 70147 95162,"1k, 332, Shivaji Park, Alwar, Rajasthan 301001, India",5,130
THE MAKER ARCHITECTS,https://www.google.com/maps/place/?q=place_id:ChIJ1fnh3bm3bTkRoAj3ooDTjY8,http://www.themakerarchitects.com/,+91 91664 64256,"House no-31, jeevan rekha hospital, Phase1, Dakshinpuri, Jagatpura, Shri Kishanpura, Jaipur, Rajasthan 303905, India",4.9,42
Modern Architect,https://www.google.com/maps/place/?q=place_id:ChIJa6pUMa2LbTkRbJyIo5Q_yBM,,+91 77349 74689,"Bichlwas road Nearby saras dairy,NH-21, Agra Rd, near Anshu hotel, Dausa, Chak Dausa Rural, Rajasthan 303303, India",5,30
Arch-X Architects,https://www.google.com/maps/place/?q=place_id:ChIJN1KOIxjJbTkR1yTAJywgSD8,,+91 70149 29717,"A-SF-01, Plot no.- CP1-231, R-Tech Capital Highstreet, Main, Mahal Rd, Jagatpura, Jaipur, Rajasthan 302017, India",4.6,40
LV design studio,https://www.google.com/maps/place/?q=place_id:ChIJoVTJf-1FbTkR4vdEX6tgCJY,,+91 97825 14641,"NH-48, Delhi - Jaipur Expy, opposite krishna hospital Kotputli, Kotputli, Rajasthan 303108, India",5,78
AAA Architects,https://www.google.com/maps/place/?q=place_id:ChIJOXDuZJu0bTkRtBxeuIkD2IA,http://www.aaaarchitects.in/,+91 70148 31812,"Office - I12A, Capital Highstreet, Mahal Rd, Jagatpura, Jaipur, Rajasthan 302017, India",4.6,10
Creative Archi Design Studio,https://www.google.com/maps/place/?q=place_id:ChIJs53dnWfJbTkRm1dwwyii1as,https://sites.google.com/view/creativearchidesignstudio,+91 84269 50950,"House no. 99, near Jeevan Rekha Hospital, OBC Colony, Karolan Ka Barh, Jagatpura, Jaipur, Rajasthan 302017, India",5,34
AB Architects & Planners,https://www.google.com/maps/place/?q=place_id:ChIJTdsxAda3bTkRa5bD4KxUFDw,https://www.theabarchitects.com/,+91 92163 50555,"109-East, Hare Krishna Marg, Lajpat Nagar, Vidhyadhar Nagar, Sin Ka Barah, Jagatpura, Jaipur, Rajasthan 302017, India",5,21
PRASA Architecture & Design,https://www.google.com/maps/place/?q=place_id:ChIJbRjXmJq3bTkRvhCaJzFQQZM,http://www.prasaindia.com/,+91 94686 03414,"2/585, Sector 2, Malviya Nagar, Jaipur, Rajasthan 302017, India",4.7,120
DR Architect,https://www.google.com/maps/place/?q=place_id:ChIJ81O53L-wbTkRtujMCpPASS4,https://www.drarchitect.in/,+91 77909 80888,"32, 3rd Floor, JAIPUR ELECTRONIC MARKET, near Riddhi Siddhi Chauraha, Mohan Nagar, Triveni Nagar, Arjun Nagar, Jaipur, Rajasthan 302018, India",4.7,110
L K Design Studio,https://www.google.com/maps/place/?q=place_id:ChIJCz0qQgeZcjkRF26dGIhClmE,,+91 97729 35551,"Defence colony, opp. टाटा मोटर्स, Bhagwanpura, Alwar, Rajasthan 301001, India",5,28
HSA architectural design studio,https://www.google.com/maps/place/?q=place_id:ChIJBcPuFSt6bwgR6SkJ7rqu9Fs,,+91 95875 02227,"101,first floor, P52W+GWQ gokul tower, Kotputli, Rajasthan 303108, India",5,10
JKS Architects - Best Architect Company in Jaipur I Best Construction Company in Jaipur | Best Interior Designer In Jaipur,https://www.google.com/maps/place/?q=place_id:ChIJv4y3OXu1bTkR9JmNALSfDsM,https://jksarchitects.in/,+91 89556 21119,"112, Jagdamba Colony Rd, near Nursery Circle, opp. Max Vision Eye Care Centre, G Block, Vaishali Nagar, Jaipur, Rajasthan 302021, India",4.5,152
Team Architects,https://www.google.com/maps/place/?q=place_id:ChIJ6yDh2pC2bTkRWSmycPUJYFI,,+91 70141 97681,"Tilak Nagar, Jaipur, Rajasthan 302004, India",4.2,33
GM Architects,https://www.google.com/maps/place/?q=place_id:ChIJEYJh4fKzbTkRvKGg2czqn3Y,http://gmarchitects.in/,+91 85295 62265,"Aashirwad D-143 Kaushalya Path, Basant Marg, Subash Nagar, Sen Colony, Bani Park, Jaipur, Rajasthan 302016, India",4.5,56
The Vastukar | An Architectural Design Studio,https://www.google.com/maps/place/?q=place_id:ChIJVccBkCZFbTkRk9yyEC6OHaY,,+91 1421 470 891,"101, First Floor, Office, The Vastukar, in front of Sharnam paradise, near T.V. Tower, Kotputli, Rajasthan 303108, India",5,14
Gaurav Architecture Studio,https://www.google.com/maps/place/?q=place_id:ChIJz8hdnVaNbTkRej44Bj904RI,,+91 77330 07011,"Agra Rd, Pratap Colony, Somnath Nagar, Dausa, Rajasthan 303303, India",5,6
Tankra Architecture Consultancy,https://www.google.com/maps/place/?q=place_id:ChIJW77cSfWZcjkRuU-dTrr3VWQ,,+91 63502 03087,"31, Alkapuri Complex Ln, Alkapuri, Alwar, Rajasthan 301001, India",4.6,42
SWASTIK ARCHITECTS,https://www.google.com/maps/place/?q=place_id:ChIJMRsR1YHJbTkRLnlxUPbF3mo,,,"Plot No. E-95, Shri Ram Ki Nangal, Vatika Rd, Saganer, Chokhi Dhani, Sukhdeopura Nohara, Jaipur, Rajasthan 302022, India",4.8,96
Excellent group of architecture and construction,https://www.google.com/maps/place/?q=place_id:ChIJW2FGmXTJbTkRNY8w-lQwBDM,,+91 98871 76187,"84/113, behind CWC office, Sector 8, Sector 9, Pratap Nagar, Jaipur, Rajasthan 302033, India",4.9,114
Indian Architect,https://www.google.com/maps/place/?q=place_id:ChIJ8QWyqlugaDkRorxZhajogAI,https://indianarchitect.in/,+91 94147 35075,"Vishal Complex Bundi Road, Road, opp. Eidgah City, Chandan Pura, Chittorgarh, Rajasthan 312001, India",5,327
SAVITRI ARCHITECTS,https://www.google.com/maps/place/?q=place_id:ChIJkT6mNZOhaDkRaLmoGkNBBAE,,+91 94141 11077,"Link Road, Bus Stand, To, Maharana Pratap Setu Marg, Nagar Palika Colony, Chittorgarh, Rajasthan 312001, India",5,192
"Mohit Dangi Architects | Bhilwara, Rajasthan 📍",https://www.google.com/maps/place/?q=place_id:ChIJWemqFqPDaDkRfIavVTN9eQc,https://instagram.com/mdarchitectss?igshid=YmMyMTA2M2Y=,+91 83027 06692,"Shop no - 4, Charbuja Tower, Sirki Mohalla, Sanjay Colony, Bhilwara, Rajasthan 311001, India",4.9,122
Archrea Design Studio (Architect),https://www.google.com/maps/place/?q=place_id:ChIJ289RnSDqaDkR7VIoZqW5H_s,,,"G.F.-13, Om Textile Tower, Pur Rd, Pratap Nagar, Bhilwara, Rajasthan 311001, India",5,106
Chithra Architects,https://www.google.com/maps/place/?q=place_id:ChIJ4a07OqJUGE4RVelPJSAlwnA,https://chithraarchitects.com/,+91 98879 99292,"197, Fort Rd, near sanwaliya vishranti grah, opposite of RSEB office, siphahi mohalla, Uparala Para, Chittorgarh, Rajasthan 312001, India",4.7,55
concept architecture,https://www.google.com/maps/place/?q=place_id:ChIJm-qa5kzCaDkRF7-RQLlYdZ8,http://facebook.com/conceptinteriors,,"Shop no.-7, Raghav Hotel Building, Near Roadways Bus Stand, Ashok Nagar, Bhopal Ganj, Bhilwara, Rajasthan 311001, India",4.3,13
Prem arch & Interio,https://www.google.com/maps/place/?q=place_id:ChIJGW-Z6P2haDkR2dtUF0t4728,https://www.instagram.com/prem_arch_interio?igsh=ZjVrM2p6d21tcHFx,+91 96604 55804,"Nagar Palika Colony, Chittorgarh, Rajasthan 312001, India",4.9,49
